lga_id,lga_name,cluster_id,cluster_name,proportion
25250,Moreland (C),3,South Metro,0.0177
25250,Moreland (C),4,West Metro,0.6802
25250,Moreland (C),5,Barwon South West,0.0012
25250,Moreland (C),6,Gippsland,0.0008
25250,Moreland (C),7,Grampians,0.0003
25250,Moreland (C),8,Hume,0.0011
25250,Moreland (C),9,Loddon Mallee,0.0005
25340,Mornington Peninsula (S),1,North Metro,0.0169
25340,Mornington Peninsula (S),2,South & East Metro,0.0738
25340,Mornington Peninsula (S),3,South Metro,0.8754
25340,Mornington Peninsula (S),4,West Metro,0.0275
25340,Mornington Peninsula (S),5,Barwon South West,0.0009
25340,Mornington Peninsula (S),6,Gippsland,0.0032
25340,Mornington Peninsula (S),7,Grampians,0.0006
25340,Mornington Peninsula (S),8,Hume,0.0009
25340,Mornington Peninsula (S),9,Loddon Mallee,0.0008
25430,Mount Alexander (S),1,North Metro,0.0411
25430,Mount Alexander (S),2,South & East Metro,0.008
25430,Mount Alexander (S),3,South Metro,0.0235
25430,Mount Alexander (S),4,West Metro,0.0581
25430,Mount Alexander (S),5,Barwon South West,0.0039
25430,Mount Alexander (S),6,Gippsland,0.0005
25430,Mount Alexander (S),7,Grampians,0.0657
25430,Mount Alexander (S),8,Hume,0.0009
25430,Mount Alexander (S),9,Loddon Mallee,0.7982
25490,Moyne (S),1,North Metro,0.0252
25490,Moyne (S),2,South & East Metro,0.0055
25490,Moyne (S),3,South Metro,0.0062
25490,Moyne (S),4,West Metro,0.0281
25490,Moyne (S),5,Barwon South West,0.9245
25490,Moyne (S),6,Gippsland,0.0002
25490,Moyne (S),7,Grampians,0.0079
25490,Moyne (S),8,Hume,0.0014
25490,Moyne (S),9,Loddon Mallee,0.001
25620,Murrindindi (S),1,North Metro,0.2571
25620,Murrindindi (S),2,South & East Metro,0.2899
25620,Murrindindi (S),3,South Metro,0.0213
25620,Murrindindi (S),4,West Metro,0.0698
25620,Murrindindi (S),5,Barwon South West,0.0008
25620,Murrindindi (S),6,Gippsland,0.0012
25620,Murrindindi (S),7,Grampians,0.0006
25620,Murrindindi (S),8,Hume,0.3566
25620,Murrindindi (S),9,Loddon Mallee,0.0027
25710,Nillumbik (S),1,North Metro,0.8029
25710,Nillumbik (S),2,South & East Metro,0.0702
25710,Nillumbik (S),3,South Metro,0.0215
25710,Nillumbik (S),4,West Metro,0.0988
25710,Nillumbik (S),5,Barwon South West,0.0014
25710,Nillumbik (S),6,Gippsland,0.0009
25710,Nillumbik (S),7,Grampians,0.0005
25710,Nillumbik (S),8,Hume,0.003
25710,Nillumbik (S),9,Loddon Mallee,0.0006
25810,Northern Grampians (S),1,North Metro,0.0208
25810,Northern Grampians (S),2,South & East Metro,0.0072
25810,Northern Grampians (S),3,South Metro,0.0089
25810,Northern Grampians (S),4,West Metro,0.0366
25810,Northern Grampians (S),5,Barwon South West,0.0208
25810,Northern Grampians (S),7,Grampians,0.8328
25810,Northern Grampians (S),8,Hume,0.0019
25810,Northern Grampians (S),9,Loddon Mallee,0.0708
25900,Port Phillip (C),1,North Metro,0.0567
25900,Port Phillip (C),2,South & East Metro,0.0305
25900,Port Phillip (C),3,South Metro,0.7188
25900,Port Phillip (C),4,West Metro,0.1889
25900,Port Phillip (C),5,Barwon South West,0.002
25900,Port Phillip (C),6,Gippsland,0.0009
25900,Port Phillip (C),7,Grampians,0.0009
25900,Port Phillip (C),8,Hume,0.0007
25900,Port Phillip (C),9,Loddon Mallee,0.0005
25990,Pyrenees (S),1,North Metro,0.0302
25990,Pyrenees (S),2,South & East Metro,0.009
